edrpou,month,budget_limit,packet
34636246,4,20364787.87,2
38258977,4,13454894.2,2
29316469,4,42526585.78,2
18943512,4,31712029.55,2
35058900,4,15904065.56,2
23256488,4,16332888.23,2
30558643,4,17840220.11,2
38004329,4,23805216.47,2
37458404,4,12337876.97,2
02891371,4,12497052.9,2
34614974,4,32824174.96,2
30281521,4,14769634.22,2
20990412,4,31409303.76,2
32058130,4,18471572.6,2
26536532,4,15036598.87,2
27283540,4,14157509.82,2
18504941,4,13579073.44,2
38948041,4,36372210.89,2
26806548,4,13639400.93,2
23156147,4,16471566.28,2
32558834,4,15774366.66,2
35158300,4,13140662.65,2
36009176,4,40498968.24,2
35658632,4,22836711.61,2
47433937,4,11749684.03,2
34636246,5,20364787.87,2
38258977,5,13454894.2,2
29316469,5,42526585.78,2
18943512,5,31712029.55,2
35058900,5,15904065.56,2
23256488,5,16332888.23,2
30558643,5,17840220.11,2
38004329,5,23805216.47,2
37458404,5,12337876.97,2
02891371,5,12497052.9,2
34614974,5,32824174.96,2
30281521,5,14769634.22,2
20990412,5,31409303.76,2
32058130,5,18471572.6,2
26536532,5,15036598.87,2
27283540,5,14157509.82,2
18504941,5,13579073.44,2
38948041,5,36372210.89,2
26806548,5,13639400.93,2
23156147,5,16471566.28,2
32558834,5,15774366.66,2
35158300,5,13140662.65,2
36009176,5,40498968.24,2
35658632,5,22836711.61,2
47433937,5,11749684.03,2
34636246,6,20364787.87,2
38258977,6,13454894.2,2
29316469,6,42526585.78,2
18943512,6,31712029.55,2
35058900,6,15904065.56,2
23256488,6,16332888.23,2
30558643,6,17840220.11,2
38004329,6,23805216.47,2
37458404,6,12337876.97,2
02891371,6,12497052.9,2
34614974,6,32824174.96,2
30281521,6,14769634.22,2
20990412,6,31409303.76,2
32058130,6,18471572.6,2
26536532,6,15036598.87,2
27283540,6,14157509.82,2
18504941,6,13579073.44,2
38948041,6,36372210.89,2
26806548,6,13639400.93,2
23156147,6,16471566.28,2
32558834,6,15774366.66,2
35158300,6,13140662.65,2
36009176,6,40498968.24,2
35658632,6,22836711.61,2
47433937,6,11749684.03,2
34636246,7,28629393.01,2
38258977,7,13454894.2,2
29316469,7,59785073.4,2
18943512,7,31712029.55,2
35058900,7,22358383.81,2
23256488,7,16332888.23,2
30558643,7,17840220.11,2
38004329,7,33466044.53,2
37458404,7,12337876.97,2
02891371,7,17568709.34,2
34614974,7,46145150.7,2
30281521,7,20763568.24,2
20990412,7,44156084.86,2
32058130,7,25967857.6,2
26536532,7,21138874.68,2
27283540,7,19903026.5,2
18504941,7,19089844.33,2
38948041,7,51133079.64,2
26806548,7,19174654.41,2
23156147,7,16471566.28,2
32558834,7,22176049.43,2
35158300,7,13140662.65,2
36009176,7,56934591.49,2
35658632,7,32104493.1,2
47433937,7,11749684.03,2
34636246,8,28629393.01,2
38258977,8,18915269.64,2
29316469,8,42526585.78,2
18943512,8,44581665.31,2
35058900,8,22358383.81,2
23256488,8,16332888.23,2
30558643,8,25080284.46,2
38004329,8,33466044.53,2
37458404,8,17344935.33,2
02891371,8,17568709.34,2
34614974,8,46145150.7,2
30281521,8,20763568.24,2
20990412,8,31409303.76,2
32058130,8,18471572.6,2
26536532,8,15036598.87,2
27283540,8,19903026.5,2
18504941,8,13579073.44,2
38948041,8,51133079.64,2
26806548,8,13639400.93,2
23156147,8,23156192.33,2
32558834,8,22176049.43,2
35158300,8,18473514.07,2
36009176,8,40498968.24,2
35658632,8,22836711.61,2
47433937,8,11749684.03,2
34636246,9,20364787.87,2
38258977,9,13454894.2,2
29316469,9,59785073.4,2
18943512,9,44581665.31,2
35058900,9,22358383.81,2
23256488,9,16332888.23,2
30558643,9,25080284.46,2
38004329,9,23805216.47,2
37458404,9,17344935.33,2
02891371,9,17568709.34,2
34614974,9,46145150.7,2
30281521,9,20763568.24,2
20990412,9,31409303.76,2
32058130,9,18471572.6,2
26536532,9,21138874.68,2
27283540,9,14157509.82,2
18504941,9,19089844.33,2
38948041,9,36372210.89,2
26806548,9,13639400.93,2
23156147,9,23156192.33,2
32558834,9,22176049.43,2
35158300,9,18473514.07,2
36009176,9,40498968.24,2
35658632,9,22836711.61,2
47433937,9,11749684.03,2
34636246,10,28629393.01,2
38258977,10,18915269.64,2
29316469,10,59785073.4,2
18943512,10,44581665.31,2
35058900,10,22358383.81,2
23256488,10,16332888.23,2
30558643,10,25080284.46,2
38004329,10,33466044.53,2
37458404,10,17344935.33,2
02891371,10,12497052.9,2
34614974,10,46145150.7,2
30281521,10,14769634.22,2
20990412,10,44156084.86,2
32058130,10,25967857.6,2
26536532,10,15036598.87,2
27283540,10,19903026.5,2
18504941,10,13579073.44,2
38948041,10,51133079.64,2
26806548,10,19174654.41,2
23156147,10,16471566.28,2
32558834,10,22176049.43,2
35158300,10,18473514.07,2
36009176,10,56934591.49,2
35658632,10,22836711.61,2
47433937,10,16518037.11,2
34636246,11,28629393.01,2
38258977,11,13454894.2,2
29316469,11,42526585.78,2
18943512,11,44581665.31,2
35058900,11,22358383.81,2
23256488,11,16332888.23,2
30558643,11,17840220.11,2
38004329,11,23805216.47,2
37458404,11,17344935.33,2
02891371,11,12497052.9,2
34614974,11,46145150.7,2
30281521,11,20763568.24,2
20990412,11,31409303.76,2
32058130,11,18471572.6,2
26536532,11,21138874.68,2
27283540,11,19903026.5,2
18504941,11,19089844.33,2
38948041,11,36372210.89,2
26806548,11,19174654.41,2
23156147,11,23156192.33,2
32558834,11,15774366.66,2
35158300,11,13140662.65,2
36009176,11,56934591.49,2
35658632,11,32104493.1,2
47433937,11,16518037.11,2
34636246,12,28629393.01,2
38258977,12,13454894.16,2
29316469,12,59785073.4,2
18943512,12,44581665.31,2
35058900,12,22358383.81,2
23256488,12,16332888.2,2
30558643,12,25080284.46,2
38004329,12,33466044.53,2
37458404,12,17344935.33,2
02891371,12,12497052.89,2
